101,100114
102,100221
104,100212
108,100238
114,100361
115,100191
122,100368
124,100167
133,100013
139,100424
145,100243
146,100432
149,100178
155,100379
159,100200
160,100029
163,100309
168,100144
183,100089
208,100075
212,100258
217,100083
220,100394
227,100273
235,100149
237,100036
238,100357
249,100130
258,100273
266,100449
287,100256
297,100177
308,100386
312,100321
314,100174
315,100362
316,100298
322,100361
324,100027
327,100458
339,100182
349,100165
352,100124
353,100089
359,100277
361,100032
364,100342
365,100160
366,100399
399,100082
401,100258
402,100348
403,100309
407,100412
409,100224
411,100390
413,100025
424,100414
428,100374
433,100153
434,100020
447,100019
454,100111
456,100091
457,100137
464,100107
470,100043
472,100259
475,100441
479,100380
483,100373
489,100204
490,100048
492,100300
494,100018
498,100084
499,100341
502,100162
522,100207
525,100034
550,100043
552,100296
553,100214
557,100220
558,100242
559,100437
561,100351
571,100134
580,100286
593,100188
594,100130
597,100193
614,100350
629,100441
631,100101
633,100314
641,100217
643,100248
644,100209
647,100044
658,100451
663,100420
680,100082
692,100398
693,100353
699,100375
706,100092
717,100253
725,100311
730,100079
734,100027
758,100389
760,100074
770,100023
772,100275
780,100423
781,100275
788,100372
789,100277
796,100225
808,100433
817,100192
818,100113
826,100351
828,100185
831,100117
832,100188
837,100008
843,100003
855,100392
859,100272
861,100115
866,100205
867,100167
872,100236
874,100274
881,100349
893,100301
934,100299
952,100098
969,100111
1012,100043
1014,100035
1016,100396
1025,100314
1051,100354
1176,100333
1221,100157
1224,100020
1258,100174
1334,100395
1361,100182
1377,100256
1399,100326
1400,100178
1408,100313
1437,100376
1488,100165
1500,100445
1643,100443
1649,100214
1799,100165
1814,100118
1838,100104
1876,100068
1931,100159
1998,100185
2070,100022
2140,100176
2226,100057
2229,100174
2249,100314
2313,100152
2368,100457
2380,100357
2381,100131
2393,100220
2511,100348
2618,100339
2629,100261
2666,100438
2677,100001
2737,100266
2779,100338
2834,100125
2849,100335
2870,100345
2878,100340
2889,100110
2912,100274
2916,100145
2918,100254
2928,100423
2935,100327
2945,100206
2992,100133
3005,100342
3036,100371
3097,100364
3118,100114
3120,100281
3135,100457
3136,100438
3138,100102
3201,100198
3221,100094
3224,100216
3273,100369
3285,100237
3301,100234
3309,100361
3310,100221
3326,100244
3333,100314
3337,100087
3345,100240
3346,100134
3347,100190
3348,100159
3355,100447
3360,100039
3373,100447
3381,100248
3382,100441
3396,100332
3403,100050
3465,100048
3495,100187
3522,100159
3526,100125
3544,100292
3611,100356
3614,100116
3620,100392
3637,100248
3655,100371
3656,100412
3657,100200
3676,100439
3685,100151
3710,100224
3711,100069
3838,100038
3880,100200
3891,100098
3898,100012
3910,100162
3916,100189
3919,100133
3943,100148
3952,100059
3953,100107
3963,100057
3964,100443
3984,100289
4000,100245
4001,100381
4020,100357
4025,100144
4029,100115
4032,100047
4041,100412
4043,100113
4044,100303
4045,100070
4048,100427
4055,100067
4059,100404
4063,100037
4067,100250
4079,100081
4084,100063
4090,100200
4096,100459
4109,100422
4111,100269
4113,100259
4114,100301
4115,100398
4119,100342
4127,100022
4128,100330
4129,100105
4131,100041
4139,100405
4150,100162
4184,100120
4356,100030
4357,100200
4367,100232
4374,100159
4376,100277
4381,100367
4436,100368
4556,100151
4610,100447
4611,100264
4616,100330
4624,100200
4626,100345
4636,100401
4656,100437
4657,100106
4716,100069
4717,100457
4718,100431
4725,100180
4788,100024
4796,100383
4797,100118
4798,100076
4825,100043
4846,100413
4852,100196
4853,100436
4863,100251
4864,100083
4866,100071
4867,100118
4868,100445
4876,100330
4936,100320
4947,100171
4949,100293
4955,100234
4959,100417
4977,100128
4989,100233
4993,100102
5004,100355
5006,100370
5008,100370
5012,100100
5014,100408
5034,100301
5036,100037
5037,100237
5038,100208
5040,100444
5061,100281
5067,100057
5086,100049
5103,100019
5104,100415
5105,100115
5106,100167
5133,100372
5136,100014
5149,100009
5153,100336
5157,100231
5159,100409
5202,100157
5242,100266
5246,100345
5247,100012
5280,100140
5281,100120
5286,100316
5288,100144
5289,100435
5290,100057
5318,100399
5319,100147
5325,100262
5326,100008
5327,100394
5329,100313
5345,100076
5346,100167
5347,100309
5349,100191
5350,100232
5355,100055
